name,type,start_time,duration
"Test Analyzer","disable",1.0362798,0.0000001
"Test Analyzer","enable",1.0392397,0.0000001
"Test Analyzer","disable",1.0423794,0.0000001
"Test Analyzer","error",1.0428095,0.0023718
"Test Analyzer","error",1.0456438,0.000324
"Test Analyzer","enable",1.0469651,0.0000001
"Test Analyzer","disable",1.049914,0.0000001
"Test Analyzer","enable",1.0530967,0.0000001
"Test Analyzer","disable",1.0542527,0.0000001
"Test Analyzer","enable",1.0545914,0.0000001
"Test Analyzer","disable",1.056735,0.0000001
"Test Analyzer","error",1.0589665,0.0007094
"Test Analyzer","error",1.0623748,0.0029262
"Test Analyzer","error",1.0663752,0.0022033
"Test Analyzer","enable",1.071277,0.0000001
"Test Analyzer","disable",1.0730915,0.0000001
"Test Analyzer","enable",1.0742333,0.0000001
"Test Analyzer","disable",1.0749443,0.0000001
"Test Analyzer","error",1.0752605,0.0028066
"Test Analyzer","enable",1.0809754,0.0000001
"Test Analyzer","disable",1.0819219,0.0000001
"Test Analyzer","error",1.0824837,0.0025598
"Test Analyzer","error",1.0856662,0.0006425
"Test Analyzer","enable",1.0890615,0.0000001
"Test Analyzer","disable",1.0895799,0.0000001
"Test Analyzer","enable",1.0924139,0.0000001
"Test Analyzer","disable",1.0924727,0.0000001
"Test Analyzer","enable",1.0940337,0.0000001
"Test Analyzer","disable",1.094109,0.0000001
"Test Analyzer","error",1.0964714,0.0013015
"Test Analyzer","error",1.1002048,0.002749
"Test Analyzer","enable",1.1050178,0.0000001
"Test Analyzer","disable",1.1065572,0.0000001
"Test Analyzer","enable",1.1090743,0.0000001
"Test Analyzer","disable",1.1121585,0.0000001
"Test Analyzer","error",1.1149923,0.0012055
"Test Analyzer","error",1.1186429,0.0012403
"Test Analyzer","error",1.1217073,0.0008819
"Test Analyzer","enable",1.124666,0.0000001
"Test Analyzer","disable",1.1273663,0.0000001
"Test Analyzer","enable",1.128304,0.0000001
"Test Analyzer","disable",1.1310674,0.0000001
"Test Analyzer","enable",1.1325193,0.0000001
"Test Analyzer","disable",1.1342279,0.0000001
"Test Analyzer","error",1.1364196,0.0027433
"Test Analyzer","error",1.1419883,0.0012861
"Test Analyzer","error",1.145362,0.0006997
"Test Analyzer","error",1.1483479,0.0008925
"Test Analyzer","enable",1.1500322,0.0000001
"Test Analyzer","disable",1.1530177,0.0000001
"Test Analyzer","error",1.1536811,0.0006034
"Test Analyzer","error",1.1565271,0.0003922
"Test Analyzer","enable",1.1590311,0.0000001
"Test Analyzer","disable",1.1618838,0.0000001
"Test Analyzer","enable",1.1631369,0.0000001
"Test Analyzer","disable",1.163161,0.0000001
"Test Analyzer","enable",1.1643385,0.0000001
"Test Analyzer","disable",1.1659382,0.0000001
"Test Analyzer","error",1.1686533,0.0003565
"Test Analyzer","error",1.1720066,0.0025334
"Test Analyzer","enable",1.1774049,0.0000001
"Test Analyzer","disable",1.178193,0.0000001
"Test Analyzer","enable",1.1783637,0.0000001
"Test Analyzer","disable",1.1800975,0.0000001
"Test Analyzer","error",1.1817611,0.0005777
"Test Analyzer","enable",1.1824155,0.0000001
"Test Analyzer","disable",1.1849098,0.0000001
"Test Analyzer","enable",1.185891,0.0000001
"Test Analyzer","disable",1.1891552,0.0000001
"Test Analyzer","enable",1.1910498,0.0000001
"Test Analyzer","disable",1.19143,0.0000001
"Test Analyzer","error",1.1931202,0.002238
"Test Analyzer","error",1.1965816,0.0011936
"Test Analyzer","enable",1.1988707,0.0000001
"Test Analyzer","disable",1.2018906,0.0000001
"Test Analyzer","enable",1.2027677,0.0000001
"Test Analyzer","disable",1.2053502,0.0000001
"Test Analyzer","enable",1.2054962,0.0000001
"Test Analyzer","disable",1.2082034,0.0000001
"Test Analyzer","enable",1.2086778,0.0000001
"Test Analyzer","disable",1.2089196,0.0000001
"Test Analyzer","error",1.2098754,0.0030885
"Test Analyzer","enable",1.2147258,0.0000001
"Test Analyzer","disable",1.2171048,0.0000001
"Test Analyzer","enable",1.2195956,0.0000001
"Test Analyzer","disable",1.2223174,0.0000001
"Test Analyzer","enable",1.2231341,0.0000001
"Test Analyzer","disable",1.2256541,0.0000001
"Test Analyzer","error",1.2279189,0.0004299
"Test Analyzer","error",1.2283595,0.00241
"Test Analyzer","enable",1.2327899,0.0000001
"Test Analyzer","disable",1.2348261,0.0000001
"Test Analyzer","enable",1.2352314,0.0000001
"Test Analyzer","disable",1.2377988,0.0000001
"Test Analyzer","error",1.238518,0.0032162
"Test Analyzer","enable",1.2441321,0.0000001
"Test Analyzer","disable",1.2469674,0.0000001
"Test Analyzer","error",1.2489872,0.0016542
"Test Analyzer","enable",1.2525649,0.0000001
"Test Analyzer","disable",1.2555592,0.0000001
"Test Analyzer","enable",1.25772,0.0000001
"Test Analyzer","disable",1.2588474,0.0000001
"Test Analyzer","enable",1.2588801,0.0000001
"Test Analyzer","disable",1.2603184,0.0000001
"Test Analyzer","enable",1.2632839,0.0000001
"Test Analyzer","disable",1.2652416,0.0000001
"Test Analyzer","error",1.2657432,0.0010425
"Test Analyzer","enable",1.2688946,0.0000001
"Test Analyzer","disable",1.2708019,0.0000001
"Test Analyzer","enable",1.2737325,0.0000001
"Test Analyzer","disable",1.2766228,0.0000001
"Test Analyzer","error",1.279051,0.0004188
"Test Analyzer","enable",1.2813633,0.0000001
"Test Analyzer","disable",1.2844382,0.0000001
"Test Analyzer","error",1.2862778,0.0003968
"Test Analyzer","error",1.2881961,0.0002436
"Test Analyzer","error",1.2888659,0.0030756
"Test Analyzer","error",1.2944091,0.0019017
"Test Analyzer","enable",1.2967724,0.0000001
"Test Analyzer","disable",1.2973596,0.0000001
"Test Analyzer","enable",1.2979849,0.0000001
"Test Analyzer","disable",1.298563,0.0000001
"Test Analyzer","enable",1.3011316,0.0000001
"Test Analyzer","disable",1.3019402,0.0000001
"Test Analyzer","enable",1.3041423,0.0000001
